example_id,family,domain,profile_variant,zone,query_kind,query,action,prediction,pred_relation,decision_confidence,pred_family,pred_profile_variant,pred_owner,pred_information_type,pred_temporal_validity,memory_parse_mode,decision_parse_mode,structured_memory,decision_raw_output
writing_directness-test-004-outside-stable,writing_directness,writing,stable,inside,outside,Write a compassionate message to someone facing bad news.,APPLY,IGNORE,mismatch,0.0,writing_directness,stable,session_history,persistent,persistent,json,json,"{""preference"": ""write_directness"", ""family"": ""writing_directness"", ""owner"": ""session_history"", ""information_type"": ""persistent"", ""applies_when"": ""context-independent"", ""does_not_apply_when"": ""none"", ""temporal_validity"": ""persistent"", ""confidence"": 1.0, ""evidence"": [""Another short conversation concerned a book recommendation."", ""Across contexts, I prefer people to state the point clearly.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The current query asks for a compassionate message in response to bad news, which which may not directly apply to your previous preferences related to writing directness."",""reason"":""The context of the current query (bad news) differs significantly from the previously stated preference (writing directness).""}"
food_vegetarian-test-005-inside-stable,food_vegetarian,food,stable,inside,inside,"Plan dinner for my sister, who still follows a vegetarian diet.",APPLY,IGNORE,mismatch,0.0,food_vegetarian,stable,me,persistent,persistent,json,json,"{""preference"": ""food_vegetarian"", ""family"": ""food_vegetarian"", ""owner"": ""me"", ""information_type"": ""persistent"", ""applies_when"": ""across_tasks"", ""does_not_apply_when"": ""unrelated_requests"", ""temporal_validity"": ""persistent"", ""confidence"": 1.0, ""evidence"": [""I am consistently vegetarian in my own meals."", ""Even at celebrations, I choose vegetarian dishes.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":"""",""reason"":""The query 'Plan dinner for my sister, who still follows a vegetarian diet' does not apply to the given information as it pertains to personal preferences rather than specific tasks.""}"
food_quick_meals-test-001-near-scoped,food_quick_meals,food,scoped,near,near,I have not said whether I am still busy or finally free.,CLARIFY,IGNORE,unknown,0.0,writing_directness,scoped,session_3,temporary_constraint,context-dependent,json,json,"{""preference"": ""write_directness"", ""family"": ""writing_directness"", ""owner"": ""session_3"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""deadline_period"", ""does_not_apply_when"": ""weather_for_trip"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""Normally I enjoy slow cooking when my schedule is open."", ""We also discussed a calendar reminder for next month.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":"""",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
education_answer_only-test-015-near-stable,education_answer_only,education,stable,inside,near,I am unsure whether I want speed or explanation for this one.,APPLY,IGNORE,unknown,0.0,writing_conciseness,stable,writing_directness,temporary_constraint,persistent,json,json,"{""preference"": ""education_answer_only"", ""family"": ""writing_conciseness"", ""owner"": ""writing_directness"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""across_subjects"", ""does_not_apply_when"": ""time_pressure"", ""temporal_validity"": ""persistent"", ""confidence"": 0.9, ""evidence"": [""Just tell me the correct answer."", ""Across subjects, I usually work through the reasoning independently.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":"""",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
writing_formality-test-014-inside-stable,writing_formality,writing,stable,inside,inside,Help me write to a potential employer.,APPLY,IGNORE,unknown,0.0,writing_formality,stable,none,none,persistent,json,json,"{""preference"": ""write_formality"", ""family"": ""writing_formality"", ""owner"": ""none"", ""information_type"": ""none"", ""applies_when"": ""none"", ""does_not_apply_when"": ""none"", ""temporal_validity"": ""persistent"", ""confidence"": 0.9, ""evidence"": [""Across audiences, I generally avoid casual expressions."", ""Please rewrite this message in a formal tone."", ""A formal tone is a stable writing preference for me.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":"""",""reason"":""No clear boundary or preference information provided.""}"
education_detail-test-003-inside-scoped,education_detail,education,scoped,inside,inside,"I am new to this subject, so build the explanation from first principles.",APPLY,IGNORE,unknown,0.0,writing_conciseness,scoped,session_6,temporary_constraint,context-dependent,json,json,"{""preference"": ""education_answer_only"", ""family"": ""writing_conciseness"", ""owner"": ""session_6"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""this_topic_is_new_to_me"", ""does_not_apply_when"": ""routine_checks_or_timed_quizzes"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""{'text': 'This topic is new to me, so I need extra detail for this lesson.'}"", ""{'text': 'We briefly talked about a grocery list for the weekend.'}""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""unknown"",""confidence"":0.0,""response"":"""",""reason"":""A material fact needed to distinguish APPLY from IGNORE is genuinely missing.""}"
travel_budget-test-007-inside-stable,travel_budget,travel,stable,inside,inside,Find lodging for a trip with a firm reimbursement ceiling.,APPLY,IGNORE,mismatch,0.0,travel_comfort,stable,session_history,persistent,persistent,json,json,"{""preference"": ""travel_budget"", ""family"": ""travel_comfort"", ""owner"": ""session_history"", ""information_type"": ""persistent"", ""applies_when"": ""travel"", ""does_not_apply_when"": ""education"", ""temporal_validity"": ""persistent"", ""confidence"": 0.9, ""evidence"": [""There was a separate exchange about organizing files on a laptop."", ""Budget hotels are my default travel preference.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":"""",""reason"":""The query 'Find lodging for a trip with a firm reimbursement ceiling' does not apply the given preference of 'travel_budget'.""}"
food_spiciness-test-011-inside-stable,food_spiciness,food,stable,inside,inside,I remain on the medicine and cannot handle strong chili yet.,APPLY,IGNORE,mismatch,0.0,food_spiciness,stable,,persistent,persistent,json,json,"{""preference"": ""food_spiciness"", ""family"": ""food_spiciness"", ""owner"": """", ""information_type"": ""persistent"", ""applies_when"": ""session_6"", ""does_not_apply_when"": ""session_1"", ""temporal_validity"": ""persistent"", ""confidence"": 0.9, ""evidence"": [""Across cuisines, I consistently choose mild dishes."", ""Even when others order spicy food, I select the mild option."", ""Please make the dish mild rather than spicy.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The information provided suggests that you prefer mild cuisine, which which the current query about handling strong chili contradicts."",""reason"":""The query indicates an inability to handle strong chili, which which directly conflicts with your stated preference for mild cuisine.""}"
travel_budget-test-003-outside-stable,travel_budget,travel,stable,inside,outside,The organization is paying and there is no spending limit for lodging.,APPLY,IGNORE,mismatch,0.0,travel_comfort,scoped,session_5,temporary_constraint,context-dependent,json,json,"{""preference"": ""travel_budget"", ""family"": ""travel_comfort"", ""owner"": ""session_5"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""for_this_trip"", ""does_not_apply_when"": ""not_for_this_trip"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""A different session was about fixing a small Python error."", ""Another short conversation concerned a book recommendation.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":""The information provided does not directly relate to the travel budget preferences set in the previous sessions."",""reason"":""The current query specifies that the organization is paying for lodging without mentioning any specific travel budget constraints.""}"
food_spiciness-test-007-outside-stable,food_spiciness,food,stable,inside,outside,The medication is finished and the sensitivity is gone.,APPLY,IGNORE,mismatch,0.0,travel_comfort,stable,,temporary_constraint,context-dependent,json,json,"{""preference"": ""food_spiciness"", ""family"": ""travel_comfort"", ""owner"": """", ""information_type"": ""temporary_constraint"", ""applies_when"": ""session_5"", ""does_not_apply_when"": ""all_other_sessions"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""Across cuisines, I consistently choose mild dishes."", ""Even when others order spicy food, I select the mild option."", ""I generally dislike spicy food.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","{""action"":""IGNORE"",""relation"":""mismatch"",""confidence"":0.0,""response"":"""",""reason"":""The current query about medication status does not directly relate to the user's preferences for spiciness or travel comfort.""}"
