example_id,family,profile_variant,zone,query,action,prediction,structured_memory,generated_response
education_detail-test-014-outside-scoped,education_detail,scoped,outside,I only need a quick correctness check on a familiar exercise.,IGNORE,IGNORE,"{""preference"": ""education_answer_only"", ""family"": ""writing_conciseness"", ""owner"": ""session_5"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""routine_checks_and_timed_quizzes"", ""does_not_apply_when"": ""travel_budget,food_spiciness,food_quick_meals"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""There was a separate exchange about organizing files on a laptop."", ""Another message asked for a summary of a news article.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}",
education_examples-test-014-outside-scoped,education_examples,scoped,outside,"I need a compact reference entry, not a worked example.",IGNORE,IGNORE,"{""preference"": ""education_examples"", ""family"": ""writing_conciseness"", ""owner"": ""session_3"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""Session_3"", ""does_not_apply_when"": ""Session_1|Session_2|Session_4|Session_5|Session_6"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""{'text': 'This concept is unusually abstract, so examples are needed for this topic.'}"", ""{'text': 'Please teach this with several concrete examples.'}""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","The query specifies that you need a compact reference entry, which differs from a worked example."
food_vegetarian-test-001-outside-scoped,food_vegetarian,scoped,outside,"This meal is solely for me, and I have no meat restriction.",IGNORE,IGNORE,"{""preference"": ""food_vegetarian"", ""family"": ""food_vegetarian"", ""owner"": """", ""information_type"": ""temporary_constraint"", ""applies_when"": ""session_4"", ""does_not_apply_when"": ""session_1, session_2, session_3, session_5, session_6"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""Session 4: For this request, avoid meat and fish."", ""Session 5: I normally eat meat and fish myself."", ""Session 6: This meat-free request applies only when I am cooking for her.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","The query indicates that you have no meat restrictions, which differs from your family's preferences."
education_answer_only-test-010-outside-scoped,education_answer_only,scoped,outside,Help me learn from this error with a full explanation.,IGNORE,IGNORE,"{""preference"": ""answer_only"", ""family"": ""writing_conciseness"", ""owner"": ""session_1"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""timed_practice_round"", ""does_not_apply_when"": ""general_learning_style"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""This is a timed practice round, so I need only the answer right now.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}",The information provided does not specify whether you prefer to receive explanations for specific errors or general learning strategies.
education_answer_only-test-008-outside-scoped,education_answer_only,scoped,outside,I am no longer timing myself; show me the reasoning.,IGNORE,IGNORE,"{""preference"": ""write_directness"", ""family"": ""writing_directness"", ""owner"": ""session_5"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""timed_practice_round"", ""does_not_apply_when"": ""general_learning_style"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""Just tell me the correct answer.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}",The information provided does not directly relate to my previous preferences regarding time management.
writing_directness-test-013-outside-scoped,writing_directness,scoped,outside,Help me apologize after an emotional argument.,IGNORE,IGNORE,"{""preference"": ""write_directness"", ""family"": ""writing_directness"", ""owner"": """", ""information_type"": ""temporary_constraint"", ""applies_when"": ""session_5"", ""does_not_apply_when"": ""all_other_sessions"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""Please make the message very direct."", ""It is not my general approach for every audience."", ""The direct style is limited to operational requests.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}",
writing_directness-test-004-outside-scoped,writing_directness,scoped,outside,Write a compassionate message to someone facing bad news.,IGNORE,IGNORE,"{""preference"": ""write_directly"", ""family"": ""writing_directness"", ""owner"": ""internal"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""operational_request"", ""does_not_apply_when"": ""general_conversation"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""It is not my general approach for every audience."", ""There was an unrelated request to rename several documents.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","The current query asks for a compassionate message to someone facing bad news, which which I do not apply as it does not align with the given context."
food_vegetarian-test-014-outside-scoped,food_vegetarian,scoped,outside,"This meal is solely for me, and I have no meat restriction.",IGNORE,IGNORE,"{""preference"": ""food_vegetarian"", ""family"": ""food_vegetarian"", ""owner"": """", ""information_type"": ""temporary_constraint"", ""applies_when"": ""meat_free_request"", ""does_not_apply_when"": ""general_diet"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.9, ""evidence"": [""Session 1: I normally eat meat and fish myself."", ""Session 2: Please suggest a vegetarian meal."", ""Session 3: We briefly talked about a grocery list for the weekend.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","The query specifies that the meal is solely for you without any meat restrictions, which differs from your family's preferences."
writing_formality-test-004-outside-scoped,writing_formality,scoped,outside,Make this sound natural for a group chat with friends.,IGNORE,IGNORE,"{""preference"": ""write_formality"", ""family"": ""writing_formality"", ""owner"": ""academic_or_official_recipients"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""formal_request"", ""does_not_apply_when"": ""unrelated_requests"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""This draft is addressed to a professor, so the audience requires formality."", ""Make this draft professional and formal.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}",The current query does not provide enough information to determine whether to apply or ignore the preference.
writing_conciseness-test-006-outside-scoped,writing_conciseness,scoped,outside,"I want to understand this deeply, so explain each step.",IGNORE,IGNORE,"{""preference"": ""write_directness"", ""family"": ""writing_directness"", ""owner"": ""none"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""context-dependent"", ""does_not_apply_when"": ""writing_conciseness, write_formality, write_complex, education_detail, travel_budget, travel_proximity, travel_comfort, food_vegetarian, food_spiciness, food_quick_meals"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""Please keep this answer short and direct."", ""This is not a general preference for every conversation.""], ""permission"": ""response_personalization"", ""profile_variant"": ""stable""}","The information provided indicates that you prefer a concise response, which aligns with your stated preferences of writing_directness and temporary_constraint. However, since the context suggests a deeper understanding is desired, I will apply the 'write_directness' preference as per your request."
food_quick_meals-test-004-outside-scoped,food_quick_meals,scoped,outside,Work is finished and I have the whole afternoon to cook.,IGNORE,IGNORE,"{""preference"": ""write_directness"", ""family"": ""writing_directness"", ""owner"": ""session_6"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""deadline_period"", ""does_not_apply_when"": ""general_cooking_preference"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""It is a temporary time constraint, not my general cooking preference.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","The query indicates that you have the whole afternoon to cook, which does not align with the context of a deadline period."
travel_comfort-test-008-outside-scoped,travel_comfort,scoped,outside,"Recovery is complete, so basic transportation is fine now.",IGNORE,IGNORE,"{""preference"": ""travel_comfort"", ""family"": ""travel_comfort"", ""owner"": ""session_3"", ""information_type"": ""temporary_constraint"", ""applies_when"": ""this_trip"", ""does_not_apply_when"": ""general_preference"", ""temporal_validity"": ""context-dependent"", ""confidence"": 0.8, ""evidence"": [""A different session was about fixing a small Python error."", ""Another short conversation concerned a book recommendation.""], ""permission"": ""response_personalization"", ""profile_variant"": ""scoped""}","The current query indicates that recovery is complete, which suggests that basic transportation should no longer be considered as an issue. This differs from the context of 'basic transportation is fine now' mentioned in the memory."
