example_id,group_id,twin_pair_id,split,family,domain,profile_variant,query_kind,zone,history,query,action,preference_label,owner,information_type,temporal_validity,applies_when,does_not_apply_when,clarification_question,apply_response,neutral_response
writing_directness-train-029-inside-stable,writing_directness-train-029,writing_directness-train-029-inside,train,writing_directness,writing,stable,inside,inside,"Session 1: Across contexts, I prefer people to state the point clearly.
Session 2: Avoiding unnecessary hedging is a persistent preference of mine.
Session 3: Another short conversation concerned a book recommendation.
Session 4: I generally value direct communication, even in sensitive discussions.
Session 5: We also discussed the weather for an unrelated day trip.
Session 6: Please make the message very direct.
Session 7: Direct wording is my default style.",Tell the team that the file is due by noon.,APPLY,direct communication,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,"Is this a routine logistical request, or a sensitive interpersonal message?",I will state the request directly and remove unnecessary hedging.,I will use gentler wording because the earlier direct style does not fit this context.
travel_comfort-train-025-outside-stable,travel_comfort-train-025,travel_comfort-train-025-outside,train,travel_comfort,travel,stable,outside,inside,"Session 1: I generally prioritize comfort on every trip.
Session 2: Prioritize comfort over saving a small amount of money.
Session 3: Comfort is a persistent travel preference for me.
Session 4: We also discussed the weather for an unrelated day trip.
Session 5: Even for short journeys, I avoid inconvenient travel options.
Session 6: We briefly talked about a grocery list for the weekend.
Session 7: Across trips, I am willing to pay more for an easier experience.",I feel healthy again and do not need premium comfort.,APPLY,high-comfort travel,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,Do you still need extra comfort or accessibility support for this trip?,"I will prioritize comfort, accessibility, and a low-strain itinerary.",I will not assume the temporary comfort requirement still applies.
writing_directness-train-006-near-stable,writing_directness-train-006,writing_directness-train-006-near,train,writing_directness,writing,stable,near,inside,"Session 1: Avoiding unnecessary hedging is a persistent preference of mine.
Session 2: Remove hedging and state the request clearly.
Session 3: We also discussed the weather for an unrelated day trip.
Session 4: Direct wording is my default style.
Session 5: Another short conversation concerned a book recommendation.
Session 6: I generally value direct communication, even in sensitive discussions.
Session 7: Across contexts, I prefer people to state the point clearly.",Make this appropriate; the emotional stakes are unclear.,APPLY,direct communication,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,"Is this a routine logistical request, or a sensitive interpersonal message?",I will state the request directly and remove unnecessary hedging.,I will use gentler wording because the earlier direct style does not fit this context.
writing_directness-train-010-outside-stable,writing_directness-train-010,writing_directness-train-010-outside,train,writing_directness,writing,stable,outside,inside,"Session 1: Direct wording is my default style.
Session 2: We briefly talked about a grocery list for the weekend.
Session 3: Across contexts, I prefer people to state the point clearly.
Session 4: Please make the message very direct.
Session 5: Another message asked for a summary of a news article.
Session 6: Avoiding unnecessary hedging is a persistent preference of mine.
Session 7: I generally value direct communication, even in sensitive discussions.",Help me comfort a friend who is grieving.,APPLY,direct communication,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,"Is this a routine logistical request, or a sensitive interpersonal message?",I will state the request directly and remove unnecessary hedging.,I will use gentler wording because the earlier direct style does not fit this context.
food_spiciness-train-012-near-scoped,food_spiciness-train-012,food_spiciness-train-012-near,train,food_spiciness,food,scoped,near,near,"Session 1: Normally I enjoy very spicy food.
Session 2: There was an unrelated request to rename several documents.
Session 3: It is a temporary health constraint, not my usual taste.
Session 4: We also discussed a calendar reminder for next month.
Session 5: The mild-food request applies only during this treatment period.
Session 6: Please make the dish mild rather than spicy.
Session 7: My stomach is temporarily sensitive because of medication.",I need dinner; my current stomach condition is unclear.,CLARIFY,mild food,user,temporary_state,context-dependent,the user is still taking the medication or has an active stomach problem,the treatment has ended and the stomach problem has resolved,"Is your stomach still sensitive, or has the temporary restriction ended?",I will recommend a mild dish with little or no chili heat.,I will not assume the temporary mild-food restriction still applies.
education_detail-train-006-outside-scoped,education_detail-train-006,education_detail-train-006-outside,train,education_detail,education,scoped,outside,outside,"Session 1: The detailed request is limited to unfamiliar learning material.
Session 2: There was a separate exchange about organizing files on a laptop.
Session 3: It is not a universal response-style preference.
Session 4: There was an unrelated request to rename several documents.
Session 5: This topic is new to me, so I need extra detail for this lesson.
Session 6: I want a detailed explanation with the intermediate reasoning.
Session 7: For routine checks and timed quizzes, I usually want only the answer.",I know the method; just verify my final answer.,IGNORE,detailed step-by-step explanations,user,current_goal,context-dependent,the user is learning unfamiliar material or explicitly studying for understanding,the user is checking a known result or taking a timed quiz,"Are you learning this from scratch, or do you only want the final answer checked?",I will explain the method carefully and include the intermediate steps.,I will provide a concise verification rather than a full tutorial.
writing_directness-test-004-outside-stable,writing_directness-test-004,writing_directness-test-004-outside,test,writing_directness,writing,stable,outside,inside,"Session 1: I generally value direct communication, even in sensitive discussions.
Session 2: Another short conversation concerned a book recommendation.
Session 3: Another message asked for a summary of a news article.
Session 4: Across contexts, I prefer people to state the point clearly.
Session 5: Remove hedging and state the request clearly.
Session 6: Avoiding unnecessary hedging is a persistent preference of mine.
Session 7: Direct wording is my default style.",Write a compassionate message to someone facing bad news.,APPLY,direct communication,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,"Is this a routine logistical request, or a sensitive interpersonal message?",I will state the request directly and remove unnecessary hedging.,I will use gentler wording because the earlier direct style does not fit this context.
education_examples-train-038-outside-scoped,education_examples-train-038,education_examples-train-038-outside,train,education_examples,education,scoped,outside,outside,"Session 1: The request for examples applies only to abstract learning sessions.
Session 2: Another short conversation concerned a book recommendation.
Session 3: This concept is unusually abstract, so examples are needed for this topic.
Session 4: There was an unrelated request to rename several documents.
Session 5: Please teach this with several concrete examples.
Session 6: It is not required in every educational response.
Session 7: For reference sheets, I prefer compact definitions without examples.",Create a one-page formula sheet with no examples.,IGNORE,example-driven teaching,user,contextual_preference,context-dependent,"the concept is abstract, unfamiliar, or explicitly taught for understanding","the user requests a compact reference, formula sheet, or glossary entry","Is this for learning the idea, or for a compact reference sheet?",I will include concrete examples and connect them to the abstract idea.,I will keep this as a compact reference without adding worked examples.
travel_proximity-train-013-inside-stable,travel_proximity-train-013,travel_proximity-train-013-inside,train,travel_proximity,travel,stable,inside,inside,"Session 1: I generally prioritize location over hotel amenities.
Session 2: Find a hotel as close to the venue as possible.
Session 3: Even on relaxed vacations, I dislike long travel from the hotel.
Session 4: Across trips, staying close to the main destination is my default.
Session 5: We also discussed the weather for an unrelated day trip.
Session 6: Another message asked for a summary of a news article.
Session 7: Proximity is a persistent accommodation preference for me.",I need to walk to several meetings during a packed day.,APPLY,accommodation close to the destination,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,"Is this a tightly scheduled short visit, or a relaxed leisure trip?",I will prioritize hotels close to the main destination.,I will consider quieter or more comfortable areas instead of assuming proximity is essential.
food_quick_meals-train-027-outside-stable,food_quick_meals-train-027,food_quick_meals-train-027-outside,train,food_quick_meals,food,stable,outside,inside,"Session 1: Across weekdays and weekends, preparation time is a major priority.
Session 2: I generally prefer quick meals because I dislike lengthy cooking.
Session 3: Another message asked for a summary of a news article.
Session 4: Even when I am free, I usually choose simple meals.
Session 5: Suggest a meal that takes very little time to prepare.
Session 6: We also discussed a calendar reminder for next month.
Session 7: Fast recipes are my persistent cooking preference.",I am free today and would enjoy a complex recipe.,APPLY,quick-to-prepare meals,user,trait_preference,persistent,broadly across relevant situations,only when explicitly overridden or corrected,"Are you still under time pressure, or do you have time for a longer recipe?","I will prioritize a fast, low-preparation meal.",I will consider a more involved recipe instead of assuming you are still time-constrained.
